stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
14805,,Vişina h.,,43.886436462,24.435739517,,,0,,,0
14817,,Vişina Veche hc.,,43.865287781,24.441516876,,,0,,,0
14855,,Corabia,,43.771781921,24.503765106,,,0,,,0
14879,,Jiu Hm.,,44.305812836,23.846290588,,,0,,,0
14922,,Podari,,44.243553162,23.783943176,,,0,,,0
14946,,Sălcuţa Hm.,,44.166442871,23.70977211,,,0,,,0
14958,,Dealul Robului h.,,44.128479004,23.694980621,,,0,,,0
14960,,Segarcea,,44.081329346,23.724176407,,,0,,,0
14972,,Segarcea Nord hc.,,44.090305328,23.730062485,,,0,,,0
14984,,Portăreşti Hm.,,44.038299561,23.6465168,,,0,,,0
14996,,Cerăt h.,,44.060916901,23.687917709,,,0,,,0
15005,,Urzica Mare h.,,44.030506134,23.606042862,,,0,,,0
15017,,Afumaţi h.,,44.031734467,23.524702072,,,0,,,0
15029,,Siliştea Crucii h.,,44.031925201,23.468299866,,,0,,,0
15031,,Boureni P.M.,,44.032314301,23.437862396,,,0,,,0
15055,,Băileşti,,44.033428192,23.349691391,,,0,,,0
15093,,Moţăţei Hm.,,44.034881592,23.189783096,,,0,,,0
15110,,Maglavit h.,,44.009975433,23.121841431,,,0,,,0
15134,,Golenţi Hm.,,43.98059845,23.051822662,,,0,,,0
15172,,Calafat,,43.991218567,22.924266815,,,0,,,0
15574,,Valea Păltinişului h.,,45.449222565,22.153520584,,,0,,,0
15598,,Cornuţel Banat Hm.,,45.429851532,22.09428978,,,0,,,0
15615,,Valeadeni h.,,45.421104431,22.034107208,,,0,,,0
15639,,Brebu,,45.427986145,21.977844238,,,0,,,0
15653,,Ezeriş h.,,45.399909973,21.908090591,,,0,,,0
