service_id,date,exception_type
21,20160805,2
21,20160808,2
21,20160809,2
21,20160810,2
21,20160811,2
21,20160812,2
21,20160815,2
21,20160816,2
21,20160817,2
21,20160818,2
21,20160819,2
21,20160822,2
21,20160823,2
21,20160824,2
21,20160825,2
21,20160826,2
21,20160829,2
21,20160830,2
21,20160831,2
21,20160901,2
21,20160902,2
21,20160905,2
21,20160906,2
21,20160907,2
21,20160908,2
21,20160909,2
21,20161130,2
21,20161201,2
22,20151221,2
22,20151222,2
22,20151223,2
22,20151224,2
22,20151225,2
22,20151228,2
22,20151229,2
22,20151230,2
22,20151231,2
22,20160101,2
22,20160104,2
22,20160105,2
22,20160106,2
22,20160107,2
22,20160108,2
22,20160208,2
22,20160209,2
22,20160210,2
22,20160211,2
22,20160212,2
22,20160425,2
22,20160426,2
22,20160427,2
22,20160428,2
22,20160429,2
22,20160502,2
22,20160503,2
22,20160620,2
22,20160627,2
22,20160628,2
22,20160629,2
22,20160630,2
22,20160701,2
22,20160704,2
22,20160705,2
22,20160706,2
22,20160707,2
22,20160708,2
22,20160711,2
22,20160712,2
22,20160713,2
22,20160714,2
22,20160715,2
22,20160718,2
22,20160719,2
22,20160720,2
22,20160721,2
22,20160722,2
22,20160725,2
22,20160726,2
22,20160727,2
22,20160728,2
22,20160729,2
22,20160801,2
22,20160802,2
22,20160803,2
22,20160804,2
22,20160805,2
22,20160808,2
22,20160809,2
22,20160810,2
22,20160811,2
22,20160812,2
22,20160815,2
22,20160816,2
22,20160817,2
22,20160818,2
22,20160819,2
22,20160822,2
22,20160823,2
22,20160824,2
22,20160825,2
22,20160826,2
22,20160829,2
22,20160830,2
22,20160831,2
22,20160901,2
22,20160902,2
22,20160905,2
22,20160906,2
22,20160907,2
22,20160908,2
22,20160909,2
22,20161130,2
22,20161201,2
23,20151225,2
23,20160101,2
23,20160502,2
23,20160620,2
23,20160815,2
23,20161130,2
23,20161201,2
24,20151221,2
24,20151222,2
24,20151223,2
24,20151224,2
24,20151225,2
24,20151228,2
24,20151229,2
24,20151230,2
24,20151231,2
24,20160101,2
24,20160104,2
24,20160105,2
24,20160106,2
24,20160107,2
24,20160108,2
24,20160208,2
24,20160209,2
24,20160210,2
24,20160211,2
24,20160212,2
24,20160425,2
24,20160426,2
24,20160427,2
24,20160428,2
24,20160429,2
24,20160502,2
24,20160503,2
24,20160620,2
24,20160627,2
24,20160628,2
24,20160629,2
24,20160630,2
24,20160701,2
24,20160704,2
24,20160705,2
24,20160706,2
24,20160707,2
24,20160708,2
24,20160711,2
24,20160712,2
24,20160713,2
24,20160714,2
24,20160715,2
24,20160718,2
24,20160719,2
24,20160720,2
24,20160721,2
24,20160722,2
24,20160725,2
24,20160726,2
24,20160727,2
24,20160728,2
24,20160729,2
24,20160801,2
24,20160802,2
24,20160803,2
24,20160804,2
24,20160805,2
24,20160808,2
24,20160809,2
24,20160810,2
24,20160811,2
24,20160812,2
24,20160815,2
24,20160816,2
24,20160817,2
24,20160818,2
24,20160819,2
24,20160822,2
24,20160823,2
24,20160824,2
24,20160825,2
24,20160826,2
24,20160829,2
24,20160830,2
24,20160831,2
24,20160901,2
24,20160902,2
24,20160905,2
24,20160906,2
24,20160907,2
24,20160908,2
24,20160909,2
24,20161130,2
24,20161201,2
25,20151221,2
25,20151222,2
25,20151223,2
25,20151224,2
25,20151225,2
25,20151228,2
25,20151229,2
25,20151230,2
25,20151231,2
25,20160101,2
25,20160104,2
25,20160105,2
25,20160106,2
25,20160107,2
25,20160108,2
25,20160208,2
25,20160209,2
25,20160210,2
25,20160211,2
25,20160212,2
25,20160425,2
25,20160426,2
25,20160427,2
25,20160428,2
25,20160429,2
25,20160502,2
25,20160503,2
25,20160620,2
25,20160627,2
25,20160628,2
25,20160629,2
25,20160630,2
25,20160701,2
25,20160704,2
25,20160705,2
25,20160706,2
25,20160707,2
25,20160708,2
25,20160711,2
25,20160712,2
25,20160713,2
25,20160714,2
25,20160715,2
25,20160718,2
25,20160719,2
25,20160720,2
25,20160721,2
25,20160722,2
25,20160725,2
25,20160726,2
25,20160727,2
25,20160728,2
25,20160729,2
25,20160801,2
25,20160802,2
25,20160803,2
25,20160804,2
25,20160805,2
25,20160808,2
25,20160809,2
25,20160810,2
25,20160811,2
25,20160812,2
25,20160815,2
25,20160816,2
25,20160817,2
25,20160818,2
25,20160819,2
25,20160822,2
25,20160823,2
25,20160824,2
25,20160825,2
25,20160826,2
25,20160829,2
25,20160830,2
25,20160831,2
25,20160901,2
25,20160902,2
25,20160905,2
25,20160906,2
25,20160907,2
25,20160908,2
25,20160909,2
25,20161130,2
25,20161201,2
26,20151213,2
26,20151214,2
26,20151215,2
26,20151216,2
26,20151217,2
26,20151218,2
26,20151219,2
26,20151220,2
26,20151221,2
26,20151222,2
26,20151223,2
26,20151224,2
26,20151225,2
26,20151226,2
26,20151227,2
26,20151228,2
26,20151229,2
26,20151230,2
26,20151231,2
26,20160101,2
26,20160102,2
26,20160103,2
26,20160104,2
26,20160105,2
26,20160106,2
26,20160107,2
26,20160108,2
26,20160109,2
26,20160110,2
26,20160111,2
26,20160112,2
26,20160113,2
26,20160114,2
26,20160115,2
26,20160116,2
26,20160117,2
26,20160118,2
26,20160119,2
26,20160120,2
26,20160121,2
26,20160122,2
26,20160123,2
26,20160124,2
26,20160125,2
26,20160126,2
26,20160127,2
26,20160128,2
26,20160129,2
26,20160130,2
26,20160131,2
26,20160201,2
26,20160202,2
26,20160203,2
26,20160204,2
26,20160205,2
26,20160206,2
26,20160207,2
26,20160208,2
26,20160209,2
26,20160210,2
26,20160211,2
26,20160212,2
26,20160213,2
26,20160214,2
26,20160215,2
26,20160216,2
26,20160217,2
26,20160218,2
26,20160219,2
26,20160220,2
26,20160221,2
26,20160222,2
26,20160223,2
26,20160224,2
26,20160225,2
26,20160226,2
26,20160227,2
26,20160228,2
26,20160229,2
26,20160301,2
26,20160302,2
26,20160303,2
26,20160304,2
26,20160305,2
26,20160306,2
26,20160307,2
26,20160308,2
26,20160309,2
26,20160310,2
26,20160311,2
26,20160312,2
26,20160313,2
26,20160314,2
26,20160315,2
26,20160316,2
26,20160317,2
26,20160318,2
26,20160319,2
26,20160320,2
26,20160321,2
26,20160322,2
26,20160323,2
26,20160324,2
26,20160325,2
26,20160326,2
26,20160327,2
26,20160328,2
26,20160329,2
26,20160330,2
26,20160331,2
26,20160401,2
26,20160402,2
26,20160403,2
26,20160404,2
26,20160405,2
26,20160406,2
26,20160407,2
26,20160408,2
26,20160409,2
26,20160410,2
26,20160411,2
26,20160412,2
26,20160413,2
26,20160414,2
26,20160415,2
26,20160416,2
26,20160417,2
26,20160418,2
26,20160419,2
26,20160420,2
26,20160421,2
26,20160422,2
26,20160423,2
26,20160424,2
26,20160425,2
26,20160426,2
26,20160427,2
26,20160428,2
26,20160429,2
26,20160430,2
26,20160501,2
26,20160502,2
26,20160503,2
26,20160504,2
26,20160505,2
26,20160506,2
26,20160507,2
26,20160508,2
26,20160509,2
26,20160510,2
26,20160511,2
26,20160512,2
26,20160513,2
26,20160514,2
26,20160515,2
26,20160516,2
26,20160517,2
26,20160518,2
26,20160519,2
26,20160520,2
26,20160521,2
26,20160522,2
26,20160523,2
26,20160524,2
26,20160525,2
26,20160526,2
26,20160527,2
26,20160528,2
26,20160529,2
26,20160530,2
